COMPACTION PHASE STARTED
COMPACTION: SE-A | Block Python Lab | Size: 2 | OrigSlot: 0
COMPACTION: SE-A | Block Python Lab | Size: 2 | OrigSlot: 0
COMPACTION: SE-A | Block Python Lab | Size: 2 | OrigSlot: 0
COMPACTION: SE-A | Block AI | Size: 1 | OrigSlot: 2
COMPACTION: SE-A | Block Machine Learning | Size: 1 | OrigSlot: 3
COMPACTION: SE-A | Block Machine Learning | Size: 1 | OrigSlot: 1
COMPACTION: SE-A | Block AI | Size: 1 | OrigSlot: 2
COMPACTION: SE-B | Block AI Lab | Size: 2 | OrigSlot: 0
COMPACTION: SE-B | Block Machine Learning | Size: 1 | OrigSlot: 2
COMPACTION: SE-B | Block Python Lab | Size: 2 | OrigSlot: 0
COMPACTION: SE-B | Block AI | Size: 1 | OrigSlot: 2
COMPACTION: SE-B | Block AI Lab | Size: 2 | OrigSlot: 0
COMPACTION: SE-B | Block Machine Learning | Size: 1 | OrigSlot: 2
COMPACTION: SE-B | Block Python Lab | Size: 2 | OrigSlot: 0
COMPACTION: SE-B | Block AI | Size: 1 | OrigSlot: 0
