SUCCESS: Python Lab | SE-A-A1 | Duration: 2 | Slot: 0
SUCCESS: Python Lab | SE-A-A2 | Duration: 2 | Slot: 0
SUCCESS: Python Lab | SE-A-A3 | Duration: 2 | Slot: 2
SUCCESS: Python Lab | SE-B-B1 | Duration: 2 | Slot: 2
SUCCESS: AI Lab | SE-B-B1 | Duration: 2 | Slot: 0
SUCCESS: AI Lab | SE-B-B2 | Duration: 2 | Slot: 0
SUCCESS: Python Lab | SE-B-B2 | Duration: 2 | Slot: 0
SUCCESS: Python Lab | SE-B-B3 | Duration: 2 | Slot: 4
SUCCESS: AI Lab | SE-B-B3 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | SE-A-B1 | Duration: 2 | Slot: 0
SUCCESS: BT Lab | SE-A-B1 | Duration: 2 | Slot: 0
SUCCESS: BT Lab | SE-A-B2 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | SE-A-B2 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | SE-A-B3 | Duration: 2 | Slot: 0
SUCCESS: BT Lab | SE-A-B3 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | SE-B-B1 | Duration: 2 | Slot: 0
SUCCESS: BT Lab | SE-B-B1 | Duration: 2 | Slot: 0
SUCCESS: BT Lab | SE-B-B2 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | SE-B-B2 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | SE-B-B3 | Duration: 2 | Slot: 2
SUCCESS: BT Lab | SE-B-B3 | Duration: 2 | Slot: 2
SUCCESS: WCN Lab | TE-A-B1 | Duration: 2 | Slot: 0
SUCCESS: WCN Lab | TE-A-B2 | Duration: 2 | Slot: 0
SUCCESS: WCN Lab | TE-A-B3 | Duration: 2 | Slot: 0
SUCCESS: WCN Lab | TE-B-B1 | Duration: 2 | Slot: 0
SUCCESS: WCN Lab | TE-B-B2 | Duration: 2 | Slot: 0
SUCCESS: WCN Lab | TE-B-B3 | Duration: 2 | Slot: 2
SUCCESS: DL Lab | BE-A-B1 | Duration: 2 | Slot: 2
SUCCESS: BT Lab | BE-A-B1 | Duration: 2 | Slot: 2
SUCCESS: BDA Lab | BE-A-B1 | Duration: 2 | Slot: 0
SUCCESS: BT Lab | BE-A-B2 | Duration: 2 | Slot: 2
SUCCESS: BDA Lab | BE-A-B2 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | BE-A-B2 | Duration: 2 | Slot: 2
SUCCESS: BDA Lab | BE-A-B3 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | BE-A-B3 | Duration: 2 | Slot: 2
SUCCESS: BT Lab | BE-A-B3 | Duration: 2 | Slot: 2
SUCCESS: DL Lab | BE-B-B1 | Duration: 2 | Slot: 2
SUCCESS: BT Lab | BE-B-B1 | Duration: 2 | Slot: 2
SUCCESS: BDA Lab | BE-B-B1 | Duration: 2 | Slot: 0
SUCCESS: BT Lab | BE-B-B2 | Duration: 2 | Slot: 5
SUCCESS: BDA Lab | BE-B-B2 | Duration: 2 | Slot: 0
SUCCESS: DL Lab | BE-B-B2 | Duration: 2 | Slot: 5
SUCCESS: BDA Lab | BE-B-B3 | Duration: 2 | Slot: 2
SUCCESS: DL Lab | BE-B-B3 | Duration: 2 | Slot: 5
SUCCESS: BT Lab | BE-B-B3 | Duration: 2 | Slot: 5
